Sales_ID,name,year,selling_price,km_driven,City,fuel,transmission,owner,mileage,engine,max_power,torque,seats,sold
20,Hyundai,2016,680000,100000,New York City,Diesel,Manual,First_Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5,Y
21,Mahindra,2011,174000,100000,New York City,Diesel,Manual,Second_Owner,21,1461,64.1,160Nm@ 2000rpm,5,Y
22,Honda,2017,950000,50000,New York City,Diesel,Manual,First_Owner,25.5,1498,98.6,200Nm@ 1750rpm,5,Y
23,Maruti,2015,525000,40000,Dallas,Diesel,Manual,First_Owner,26.59,1248,74,190Nm@ 2000rpm,5,Y
24,Maruti,2012,600000,72000,New York City,Diesel,Manual,First_Owner,21.5,1248,88.8,200Nm@ 1750rpm,5,Y
25,Tata,2018,500000,35000,New York City,Petrol,Manual,First_Owner,20.3,1199,83.81,114Nm@ 3500rpm,5,Y
26,Maruti,2016,575000,45000,Los Angeles,Petrol,Manual,First_Owner,21.4,1197,83.1,115Nm@ 4000rpm,5,Y
27,Maruti,2017,275000,28000,Seattle,Petrol,Manual,First_Owner,24.7,796,47.3,69Nm@ 3500rpm,5,Y
28,Chevrolet,2013,300000,70000,Boston,Diesel,Manual,First_Owner,18.2,1248,73.8,172.5Nm@ 1750rpm,7,Y
29,Maruti,2009,220000,120000,Atlanta,Petrol,Manual,First_Owner,18.9,1061,67,84Nm@ 3500rpm,5,Y
30,Maruti,2018,254999,25000,New York City,Petrol,Manual,First_Owner,16.8,796,34.2,59Nm@ 2500rpm,8,Y
31,Maruti,2017,670000,70000,Chicago,Diesel,Manual,First_Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,Y
33,Maruti,2012,150000,35000,Chicago,Petrol,Manual,Second_Owner,14,796,35,6.1kgm@ 3000rpm,5,Y
34,Hyundai,2018,730000,2388,Seattle,Petrol,Manual,First_Owner,18.6,1197,81.83,114.7Nm@ 4000rpm,5,Y
35,Maruti,2017,650000,16200,Seattle,Diesel,Manual,First_Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,Y
36,Maruti,2019,330000,10000,Seattle,CNG,Manual,Second_Owner,33.44,796,40.3,60Nm@ 3500rpm,4,Y
37,Maruti,2019,366000,15000,Seattle,Petrol,Manual,First_Owner,23.95,998,67.1,90Nm@ 3500rpm,5,Y
38,Hyundai,2019,1149000,5000,Washington,Petrol,Manual,First_Owner,17,1591,121.3,151Nm@ 4850rpm,5,Y
39,Datsun,2016,150000,42000,Los Angeles,Petrol,Manual,First_Owner,20.63,1198,67,104Nm@ 4000rpm,5,Y
40,Tata,2011,425000,60000,Charlotte,Diesel,Manual,Second_Owner,13.93,2179,138.03,320Nm@ 1700-2700rpm,7,Y
41,Maruti,2012,150000,76000,Los Angeles,Petrol,Manual,First_Owner,16.1,796,37,59Nm@ 2500rpm,4,Y
42,Jeep,2019,2100000,5000,New York City,Petrol,Automatic,First_Owner,16,1368,160.77,250Nm@ 1750-2500rpm,5,Y
43,Honda,2018,925000,28900,New York City,Petrol,Manual,First_Owner,17.8,1497,117.3,145Nm@ 4600rpm,5,Y
44,Honda,2013,425000,86300,New York City,Petrol,Manual,First_Owner,16.8,1497,116.3,146Nm@ 4800rpm,5,Y
45,Maruti,2018,675000,23300,New York City,Petrol,Automatic,First_Owner,18.5,1197,83.14,115Nm@ 4000rpm,5,Y
46,Maruti,2018,819999,32600,Chicago,Diesel,Manual,First_Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,Y
47,Maruti,2018,390000,10300,New York City,Petrol,Manual,First_Owner,23.95,998,67.05,90Nm@ 3500rpm,5,Y
48,Toyota,2014,1500000,77000,Seattle,Diesel,Manual,First_Owner,12.55,2982,168.5,343Nm@ 1400-3400rpm,7,Y
49,Toyota,2013,700000,99000,New York City,Diesel,Manual,First_Owner,12.99,2494,100,200Nm@ 1400-3400rpm,7,Y
50,Mercedes,2014,1450000,27800,New York City,Diesel,Automatic,Second_Owner,14.8,2143,120.7,200Nm@ 1250-4000rpm,5,Y
51,Honda,2015,425000,49800,New York City,Diesel,Manual,First_Owner,24.7,1498,98.63,200Nm@ 1750rpm,5,Y
52,Mitsubishi,2013,1090000,151000,Seattle,Diesel,Manual,First_Owner,13.5,2477,175.56,400Nm@ 2000-2500rpm,7,Y
53,Honda,2015,600000,54700,Los Angeles,Diesel,Manual,First_Owner,26,1498,98.6,200Nm@ 1750rpm,5,Y
54,Maruti,2018,850000,64000,New York City,Petrol,Manual,First_Owner,20.65,1462,103.25,138Nm@ 4400rpm,5,Y
55,Honda,2015,525000,63000,Atlanta,Diesel,Manual,First_Owner,27.3,1498,98.6,200Nm@ 1750rpm,5,Y
56,Toyota,2016,1650000,127700,Boston,Diesel,Automatic,Second_Owner,11.36,2755,171.5,360Nm@ 1200-3400rpm,7,Y
57,Toyota,2016,950000,99000,Atlanta,Diesel,Manual,First_Owner,12.99,2494,100.6,200Nm@ 1200-3600rpm,7,Y
58,Audi,2013,1750000,33900,Atlanta,Diesel,Automatic,Second_Owner,17.68,1968,174.33,380Nm@ 1750-2500rpm,5,Y
59,Toyota,2018,1590000,25000,Miami,Petrol,Automatic,First_Owner,14.28,1798,138.03,173Nm@ 4000rpm,5,Y
60,Audi,2013,1689999,50000,Boston,Diesel,Automatic,First_Owner,18.53,1968,187.74,400Nm@ 1750-3000rpm,5,Y
61,Mercedes,2013,1425000,59000,Boston,Diesel,Automatic,First_Owner,14.84,2143,170,400Nm@ 1400-2800rpm,5,Y
62,Tata,2011,265000,120000,Philadelphia,Diesel,Manual,First_Owner,21.12,1248,88.8,200Nm@ 1750-3000rpm,5,Y
63,Hyundai,2011,190000,110000,San Diego,Petrol,Manual,Third_Owner,20.36,1197,78.9,111.7Nm@ 4000rpm,5,Y
64,Hyundai,2013,425000,60000,San Francisco,Diesel,Manual,First_Owner,21.27,1396,88.76,219.6Nm@ 1500-2750rpm,5,Y
65,Maruti,2015,630000,147000,San Francisco,Diesel,Manual,Second_Owner,26.59,1248,74,190Nm@ 2000rpm,5,Y
66,Ford,2017,600000,25000,Washington,Petrol,Manual,Third_Owner,18.16,1196,86.8,112Nm@ 4000rpm,5,Y
67,Maruti,2019,650000,30000,New York City,Petrol,Manual,First_Owner,21.4,1197,83.1,115Nm@ 4000rpm,5,Y
68,Volkswagen,2016,540000,40000,Washington,Diesel,Manual,First_Owner,22,1498,108.495,250Nm@ 1500-3000rpm,5,Y
69,Honda,2015,630000,135000,Washington,Diesel,Manual,First_Owner,25.1,1498,98.6,200Nm@ 1750rpm,5,Y
70,Maruti,2018,448000,30000,Washington,Petrol,Automatic,First_Owner,20.51,998,67,90Nm@ 3500rpm,5,Y
71,Volkswagen,2017,500000,80000,Chicago,Diesel,Manual,First_Owner,21.66,1498,108.62,250Nm@ 1500-3000rpm,5,Y
72,Maruti,2016,745000,70000,Boston,Diesel,Manual,First_Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,Y
73,Maruti,2019,1025000,9850,Boston,Diesel,Automatic,First_Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,Y
74,Hyundai,2011,235000,60000,New York City,Petrol,Manual,Second_Owner,20.36,1197,78.9,111.7Nm@ 4000rpm,5,Y
75,Maruti,2016,630000,70000,Los Angeles,Diesel,Manual,First_Owner,25.2,1248,74,190Nm@ 2000rpm,5,Y
76,Toyota,2015,1700000,78000,Los Angeles,Diesel,Manual,Second_Owner,12.55,2982,168.5,343Nm@ 1400-3400rpm,7,Y
77,Maruti,2013,450000,120000,Dallas,Diesel,Manual,Second_Owner,22.9,1248,74,190Nm@ 2000rpm,5,Y
78,Maruti,2012,450000,120000,Miami,Petrol,Manual,Second_Owner,16.02,1373,93.7,130Nm@ 4000rpm,7,Y
80,Volkswagen,2013,450000,170000,Charlotte,Diesel,Manual,First_Owner,20.54,1598,103.6,250Nm@ 1500-2500rpm,5,Y
81,Toyota,2016,1200000,140000,New York City,Diesel,Manual,First_Owner,12.99,2494,100.6,200Nm@ 1200-3600rpm,8,Y
82,Ford,2015,610000,90000,Chicago,Diesel,Manual,First_Owner,22.77,1498,98.59,205Nm@ 1750-3250rpm,5,Y
83,BMW,2016,2500000,30000,Chicago,Petrol,Automatic,Second_Owner,15.71,1998,189,280Nm@ 1350-4600rpm,5,Y
84,Maruti,2017,484999,10000,Miami,Petrol,Manual,First_Owner,23.1,998,67.04,90Nm@ 3500rpm,5,Y
85,Datsun,2016,275000,49000,Miami,Petrol,Manual,First_Owner,19.02,1198,67.05,104Nm@ 4000rpm,5,Y
86,Maruti,2016,315000,32000,Miami,Petrol,Manual,First_Owner,24.7,796,47.3,69Nm@ 3500rpm,5,Y
87,Maruti,2016,275000,38000,New York City,Petrol,Manual,First_Owner,24.7,796,47.3,69Nm@ 3500rpm,5,Y
89,Hyundai,2012,290000,28000,Miami,Petrol,Manual,First_Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5,Y
90,Maruti,2017,280000,32000,Detroit,Petrol,Manual,First_Owner,14,796,35,6.1kgm@ 3000rpm,5,Y
91,Maruti,2010,225000,44000,Detroit,LPG,Manual,First_Owner,26.2,998,58.2,77Nm@ 3500rpm,5,Y
92,Volkswagen,2015,455000,42000,Charlotte,Petrol,Manual,First_Owner,16.47,1198,74,110Nm@ 3750rpm,5,Y
93,Hyundai,2015,351000,45000,Charlotte,Petrol,Manual,Second_Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5,Y
94,Volkswagen,2012,535000,12000,Philadelphia,Petrol,Manual,Second_Owner,15.04,1598,103.6,153Nm@ 3800rpm,5,Y
95,Maruti,2009,175000,55500,Philadelphia,Petrol,Manual,First_Owner,18.2,998,67.1,90Nm@ 3500rpm,5,Y
96,Hyundai,2013,525000,61500,Philadelphia,Petrol,Manual,First_Owner,18.5,1197,82.85,113.7Nm@ 4000rpm,5,Y
97,Maruti,2016,600000,150000,Boston,Diesel,Manual,First_Owner,26.59,1248,74,190Nm@ 2000rpm,5,Y
98,Hyundai,2016,565000,72000,Atlanta,Petrol,Automatic,First_Owner,19.1,1197,82,114Nm@ 4000rpm,5,Y
99,Maruti,2008,120000,68000,Los Angeles,Petrol,Manual,Third_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
100,Hyundai,2017,725000,110000,Los Angeles,Diesel,Manual,First_Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5,Y
101,Maruti,2009,185000,77000,Washington,Petrol,Manual,Second_Owner,21.79,998,67.05,90Nm@ 3500rpm,5,Y
102,Tata,2010,200000,100000,Washington,Diesel,Manual,Second_Owner,18.8,1248,90,200Nm@ 1750-3000rpm,5,Y
103,Maruti,2019,615000,10000,Washington,Petrol,Manual,First_Owner,21.21,1197,81.8,113Nm@ 4200rpm,5,Y
104,Maruti,2016,270000,100000,Philadelphia,Petrol,Manual,Third_Owner,15.37,1196,73,101Nm@ 3000rpm,7,Y
105,Maruti,2018,610000,35000,Philadelphia,Petrol,Manual,First_Owner,21.4,1197,83.1,115Nm@ 4000rpm,5,Y
106,Mahindra,2014,625000,70000,Philadelphia,Diesel,Automatic,Second_Owner,11.79,2179,120,290Nm@ 1800-2800rpm,8,Y
107,Ford,2020,400000,5000,Houston,Petrol,Manual,Second_Owner,19,1194,94.68,120Nm@ 4250rpm,5,Y
108,Hyundai,2017,866000,37800,New York City,Petrol,Manual,First_Owner,17,1591,121.3,151Nm@ 4850rpm,5,Y
109,Volkswagen,2010,700000,114000,Los Angeles,Petrol,Manual,First_Owner,14.3,1798,160,250Nm@ 1500~4500rpm,5,Y
110,Tata,2010,300000,48000,Chicago,Petrol,Manual,First_Owner,15.8,1172,65,96 Nm at 3000 rpm,5,Y
111,Mahindra,2019,1700000,32000,New York City,Diesel,Manual,First_Owner,15.1,2179,155,360Nm@ 1750-2800rpm,7,Y
112,Tata,2016,375000,100000,New York City,Diesel,Manual,First_Owner,19.09,1405,69.01,135Nm@ 2500rpm,5,Y
113,Hyundai,2013,522000,150000,New York City,Diesel,Manual,Second_Owner,22.32,1582,126.32,259.8Nm@ 1900-2750rpm,5,Y
114,Hyundai,2013,451999,69000,New York City,Diesel,Manual,First_Owner,21.9,1396,88.76,219.6Nm@ 1500-2750rpm,5,Y
115,Toyota,2009,300000,100000,New York City,Petrol,Manual,Second_Owner,14.53,1798,138.1,173Nm@ 4000rpm,5,Y
116,Maruti,2020,475000,13000,New York City,Petrol,Manual,First_Owner,21.63,998,67.04,90Nm@ 3500rpm,5,Y
117,Maruti,2016,780000,60000,Los Angeles,Diesel,Manual,First_Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,Y
118,Maruti,2017,595000,40000,Los Angeles,Petrol,Manual,First_Owner,20.85,1197,83.14,115Nm@ 4000rpm,5,Y
119,Maruti,2017,440000,35000,Los Angeles,Petrol,Manual,First_Owner,20.51,998,67.04,90Nm@ 3500rpm,5,Y
121,Nissan,2014,400000,70000,Washington,Diesel,Manual,Third_Owner,20.45,1461,83.8,200Nm@ 1900rpm,5,Y
122,Hyundai,2016,1140000,50000,Philadelphia,Diesel,Manual,First_Owner,19.67,1582,126.2,259.9Nm@ 1900-2750rpm,5,Y
123,Ford,2017,850000,76139,New York City,Diesel,Manual,First_Owner,23,1498,98.96,205Nm@ 1750-3250rpm,5,Y
124,Maruti,2012,370000,175000,Charlotte,Diesel,Manual,Fourth_Above_Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,Y
125,Renault,2018,350000,25000,Boston,Petrol,Manual,First_Owner,23.01,999,67,91Nm@ 4250rpm,5,Y
126,Maruti,2015,360000,40000,Boston,Petrol,Manual,Second_Owner,23.1,998,67.04,90Nm@ 3500rpm,5,Y
127,Maruti,2008,105000,65000,Boston,Petrol,Manual,Fourth_Above_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
128,Maruti,2013,625000,90000,San Francisco,Diesel,Manual,Second_Owner,20.77,1248,88.76,200Nm@ 1750rpm,7,Y
129,Hyundai,2009,135000,80000,Seattle,Petrol,Manual,Second_Owner,17.92,1086,62.1,96.1Nm@ 3000rpm,5,Y
130,Maruti,2015,700000,110000,Washington,Diesel,Manual,Second_Owner,20.77,1248,88.76,200Nm@ 1750rpm,7,Y
131,Honda,2019,690000,1303,Washington,Petrol,Manual,First_Owner,17.8,1198,86.7,109Nm@ 4500rpm,5,Y
132,Audi,2018,3975000,31800,Seattle,Diesel,Automatic,First_Owner,17.01,1968,188,400nm@ 1750-3000rpm,5,Y
133,Lexus,2019,5150000,20000,Seattle,Petrol,Automatic,First_Owner,22.37,2487,214.56,202Nm@ 3600-5200rpm,5,Y
134,Jaguar,2017,3200000,45000,New York City,Diesel,Automatic,First_Owner,19.33,1999,177,430Nm@ 1750-2500rpm,5,Y
135,Jeep,2017,4100000,17000,Los Angeles,Petrol,Automatic,First_Owner,9.5,3604,280,347Nm@ 4300rpm,5,Y
136,Land,2019,4500000,21000,Los Angeles,Diesel,Automatic,First_Owner,12.83,1999,148.31,382nm@ 1750-2250rpm,7,Y
137,Mercedes,2017,6000000,37000,Los Angeles,Diesel,Automatic,First_Owner,13.5,2987,254.79,620Nm@ 1600-2400rpm,5,Y
138,BMW,2018,3790000,29500,Los Angeles,Diesel,Automatic,First_Owner,22.48,1995,187.74,400Nm@ 1750-2500rpm,5,Y
140,BMW,2019,5800000,7500,New York City,Diesel,Automatic,First_Owner,16.78,1995,190,400Nm@ 1750-2500rpm,5,Y
141,Skoda,2018,1864999,50000,San Diego,Petrol,Automatic,First_Owner,14.67,1798,177.46,250@ 1250-5000rpm,5,Y
142,Mercedes,2016,2700000,35000,San Diego,Diesel,Automatic,First_Owner,15,2143,204,500Nm@ 1600-1800rpm,5,Y
143,MG,2019,1750000,19000,San Diego,Petrol,Automatic,First_Owner,13.96,1451,141,250Nm@ 1600-3600rpm,5,Y
144,Honda,2017,795000,41000,Seattle,Petrol,Automatic,First_Owner,18,1497,117.6,145Nm@ 4600rpm,5,Y
145,Toyota,2013,625000,39000,Washington,Petrol,Automatic,First_Owner,14.28,1798,138.03,173Nm@ 4000rpm,5,Y
146,Volvo,2018,3400000,22000,Washington,Diesel,Automatic,First_Owner,18,1969,190,400Nm,5,Y
147,Audi,2015,2650000,53000,Los Angeles,Diesel,Automatic,First_Owner,12.07,2967,241.4,550Nm@ 1750-2750rpm,7,Y
148,Maruti,2015,535000,40000,Los Angeles,Diesel,Manual,First_Owner,26.21,1248,88.5,200Nm@ 1750rpm,5,Y
149,Mercedes,2017,5850000,47000,Los Angeles,Diesel,Automatic,First_Owner,13.5,2987,282,490Nm@ 1600rpm,5,Y
150,BMW,2010,975000,72200,Washington,Petrol,Automatic,Second_Owner,10.8,2497,150,250 Nm at 2750 rpm,5,Y
151,Hyundai,2016,805000,49900,Washington,Petrol,Manual,First_Owner,16.3,1797,147.5,177.5Nm@ 4700rpm,5,Y
152,Jaguar,2017,2625000,9000,New York City,Diesel,Automatic,First_Owner,13.6,1999,177,430Nm@ 1750-2500rpm,5,Y
153,Tata,2018,811000,11000,New York City,Petrol,Manual,First_Owner,17,1198,108.5,170Nm@ 1750-4000rpm,5,Y
154,Volkswagen,2011,375000,49000,Washington,Petrol,Manual,First_Owner,15.04,1598,103.6,153Nm@ 3800rpm,5,Y
155,Hyundai,2012,550000,95000,New York City,Petrol,Manual,First_Owner,16.3,1797,147.5,177.5Nm@ 4700rpm,5,Y
156,Skoda,2016,645000,11000,Boston,Petrol,Automatic,First_Owner,14.3,1598,103.5,153Nm@ 3800rpm,5,Y
157,Mercedes,2018,2550000,18000,Chicago,Petrol,Automatic,First_Owner,15.04,1991,183,300Nm@ 1200-4000rpm,5,Y
158,Maruti,2014,599000,46100,Houston,Petrol,Manual,First_Owner,16.02,1373,93.7,130Nm@ 4000rpm,7,Y
159,Mercedes,2017,2700000,16000,Boston,Petrol,Automatic,First_Owner,14.74,1991,181.04,300Nm@ 1200-1400rpm,5,Y
160,Honda,2017,875000,18000,Boston,Petrol,Automatic,First_Owner,15.6,1497,116.3,146Nm@ 4800rpm,5,Y
161,Toyota,2019,894999,9654,Boston,Petrol,Automatic,First_Owner,19.56,1197,81.8,113Nm@ 4200rpm,5,Y
162,Maruti,2011,175000,11000,Charlotte,Petrol,Manual,First_Owner,23.95,998,67.05,90Nm@ 3500rpm,5,Y
163,Maruti,2012,340000,24300,Seattle,Petrol,Manual,First_Owner,21.21,1197,81.8,113Nm@ 4200rpm,5,Y
164,Toyota,2016,1525000,42163,Seattle,Diesel,Automatic,Second_Owner,11.36,2755,171.5,360Nm@ 1200-3400rpm,7,Y
165,Tata,2018,1025000,8000,New York City,Diesel,Automatic,First_Owner,21.5,1497,108.5,260Nm@ 1500-2750rpm,5,Y
166,BMW,2016,2150000,30000,Miami,Diesel,Automatic,First_Owner,22.69,1995,190,400Nm@ 1750-2500rpm,5,Y
167,Toyota,2016,1900000,41000,New York City,Petrol,Automatic,First_Owner,19.16,2494,157.7,213Nm@ 4500rpm,5,Y
168,BMW,2016,2900000,12000,Washington,Diesel,Automatic,First_Owner,18.12,1995,190,400Nm@ 1750-2500rpm,5,Y
169,Toyota,2009,450000,71000,New York City,Petrol,Automatic,First_Owner,12.1,2362,164.7,224Nm@ 4000rpm,5,Y
170,Maruti,2016,850000,20000,Los Angeles,Petrol,Manual,First_Owner,17.5,1373,91.1,130Nm@ 4000rpm,7,Y
171,Volvo,2017,10000000,30000,New York City,Petrol,Automatic,First_Owner,42,1969,400,640Nm@ 1740rpm,4,Y
172,Volkswagen,2011,300000,100000,Charlotte,Diesel,Manual,Second_Owner,20.54,1598,103.6,250Nm@ 1500-2500rpm,5,Y
173,Ford,2018,575000,9500,Houston,Petrol,Manual,First_Owner,18.16,1196,86.8,112Nm@ 4000rpm,5,Y
174,Ford,2011,160000,120000,Houston,Diesel,Manual,First_Owner,20,1399,68,160Nm@ 2000rpm,5,Y
175,Maruti,2015,515000,36600,Houston,Petrol,Manual,First_Owner,20.4,1197,81.8,113Nm@ 4200rpm,5,Y
176,Maruti,2015,390000,50000,Washington,Petrol,Automatic,Second_Owner,20.51,998,67,90Nm@ 3500rpm,5,Y
177,Hyundai,2016,550000,14000,Seattle,Petrol,Manual,Second_Owner,18.6,1197,81.83,114.7Nm@ 4000rpm,5,Y
178,Maruti,1999,40000,40000,Washington,Petrol,Manual,Second_Owner,16.1,796,37,59Nm@ 2500rpm,4,Y
179,Maruti,2010,220000,120000,Washington,Diesel,Manual,First_Owner,21.1,1248,73.9,113Nm@ 4500rpm,5,Y
180,Hyundai,2015,425000,70000,New York City,Petrol,Manual,First_Owner,18.9,1197,82,114Nm@ 4000rpm,5,Y
181,Volkswagen,2019,480000,13000,New York City,Petrol,Manual,First_Owner,19.44,999,75,95Nm@ 3000-4300rpm,5,Y
182,Hyundai,2014,400000,60000,Dallas,Petrol,Manual,Second_Owner,18.9,1197,82,114Nm@ 4000rpm,5,Y
183,Maruti,2014,487000,35000,Miami,Petrol,Manual,First_Owner,19.1,1197,85.8,114Nm@ 4000rpm,5,Y
184,Hyundai,2016,386000,44000,Philadelphia,Petrol,Manual,Second_Owner,19.1,1197,82,114Nm@ 4000rpm,5,Y
185,Honda,2005,100000,120000,Philadelphia,Petrol,Manual,Second_Owner,13,1493,100,13.1kgm@ 4600rpm,5,Y
186,Toyota,2010,300000,60000,Los Angeles,Diesel,Manual,First_Owner,21.43,1364,87.2,205Nm@ 1800-2800rpm,5,Y
187,Daewoo,2000,100000,60000,Boston,Petrol,Manual,First_Owner,18.5,796,53,71Nm@ 3500rpm,5,Y
188,Toyota,2014,1750000,30000,Boston,Diesel,Manual,Second_Owner,13,2982,168.5,343Nm@ 1400-3400rpm,7,Y
189,Mahindra,2016,450000,15000,Los Angeles,Petrol,Manual,Second_Owner,18.15,1198,82,115Nm@ 3500-3600rpm,6,Y
190,Tata,2017,490000,90000,Los Angeles,Diesel,Manual,First_Owner,22.95,1248,74,190Nm@ 1750-3000rpm,5,Y
191,Honda,2009,345000,47000,Los Angeles,Petrol,Manual,Second_Owner,17,1497,118,146Nm at 4800 rpm,5,Y
192,Maruti,2005,85000,90000,Atlanta,Petrol,Manual,First_Owner,17.3,993,60,78Nm@ 4500rpm,5,Y
193,Maruti,2010,215000,120600,Seattle,Petrol,Manual,Second_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
194,Hyundai,2010,320000,100000,Chicago,Petrol,Manual,Third_Owner,16.2,1599,103.2,14.9 KGM at 3000 RPM,5,Y
195,Maruti,2016,459999,60000,Atlanta,Petrol,Manual,Second_Owner,20.85,1197,83.14,115Nm@ 4000rpm,5,Y
196,Hyundai,2005,65000,86000,Atlanta,Petrol,Manual,First_Owner,15.3,1341,83,115Nm@ 3200rpm,5,Y
197,Hyundai,2020,720000,5000,Atlanta,Petrol,Manual,First_Owner,18.6,1197,81.86,117nm@ 4000rpm,5,Y
198,Maruti,2017,800000,37000,Los Angeles,Diesel,Manual,First_Owner,28.09,1248,88.5,200Nm@ 1750rpm,5,Y
199,Tata,2019,520000,14000,Philadelphia,Petrol,Manual,First_Owner,20.3,1199,84,114Nm@ 3500rpm,5,Y
200,Maruti,2015,580000,70000,San Francisco,Diesel,Manual,First_Owner,20.77,1248,88.76,200Nm@ 1750rpm,7,Y
202,Honda,2015,600000,50000,Los Angeles,Petrol,Manual,First_Owner,17.4,1497,117.3,145Nm@ 4600rpm,5,Y
203,Honda,2014,290000,60000,Los Angeles,Petrol,Manual,Second_Owner,19.4,1198,86.8,109Nm@ 4500rpm,5,Y
204,Maruti,2016,360000,50000,Chicago,CNG,Manual,First_Owner,26.6,998,58.16,77Nm@ 3500rpm,5,Y
205,Maruti,2017,550000,50000,Chicago,Petrol,Manual,First_Owner,20.85,1197,83.14,115Nm@ 4000rpm,5,Y
206,Hyundai,2013,375000,70000,Boston,Petrol,Manual,First_Owner,18.5,1197,82.85,113.7Nm@ 4000rpm,5,Y
208,Maruti,2018,420000,35000,Houston,Petrol,Automatic,First_Owner,20.51,998,67,90Nm@ 3500rpm,5,Y
209,Maruti,2017,550000,20000,Houston,Petrol,Manual,First_Owner,21.21,1197,81.8,113Nm@ 4200rpm,5,Y
210,Maruti,2018,270000,20000,Boston,Petrol,Manual,First_Owner,24.7,796,47.3,69Nm@ 3500rpm,5,Y
211,Maruti,2018,700000,7800,Chicago,Petrol,Automatic,First_Owner,22,1197,81.8,113Nm@ 4200rpm,5,Y
212,Maruti,2017,500000,20000,Chicago,Petrol,Manual,First_Owner,20.4,1197,81.8,113Nm@ 4200rpm,5,Y
213,Tata,2019,1250000,15000,Dallas,Diesel,Manual,First_Owner,17.6,2179,147.94,320Nm@ 1500-3000rpm,7,Y
214,Hyundai,2013,320000,31377,Atlanta,Petrol,Manual,Second_Owner,18.5,1197,82.85,113.7Nm@ 4000rpm,5,Y
215,Maruti,2018,700000,50000,Chicago,Diesel,Manual,First_Owner,28.4,1248,74.02,190Nm@ 2000rpm,5,Y
216,Maruti,2015,290000,60000,Seattle,Petrol,Manual,First_Owner,20.51,998,67.04,90Nm@ 3500rpm,5,Y
217,Toyota,2012,550000,100000,Detroit,Petrol,Automatic,First_Owner,14.53,1794,138.1,173Nm@ 4000rpm,5,Y
218,Honda,2012,265000,60000,Boston,Petrol,Manual,First_Owner,19.4,1198,86.8,109Nm@ 4500rpm,5,Y
